LocationAbbr,LocationDesc,MortalityPer100k
AK,Aleutians East,147.4
AK,Aleutians West,229.4
AK,Anchorage,255.5
AK,Bethel,305.5
AK,Bristol Bay,
AK,Denali,281.7
AK,Dillingham,340
AK,Fairbanks North Star,285.7
AK,Haines,288.4
AK,Juneau,288.4
AK,Kenai Peninsula,265.9
AK,Ketchikan Gateway,316
AK,Kodiak Island,270.6
AK,Lake and Peninsula,292.8
AK,Matanuska-Susitna,250.3
AK,Nome,361.5
AK,North Slope,224.7
AK,Northwest Arctic,350.9
AK,Prince of Wales-Outer Ketchikan,
AK,Sitka,226.7
AK,Skagway-Hoonah-Angoon,
AK,Southeast Fairbanks,276.9
AK,Valdez-Cordova,257.9
AK,Wade Hampton,358.8
AK,Wrangell-Petersburg,
AK,Yakutat,
AK,Yukon-Koyukuk,305.5
AK,Aleutians East,180.6
AK,Aleutians West,559.8
AK,Anchorage,333.3
AK,Bethel,395.3
AK,Bristol Bay,
AK,Denali,385.3
AK,Dillingham,368.5
AK,Fairbanks North Star,389.8
AK,Haines,359
AK,Juneau,353.1
AK,Kenai Peninsula,327.6
AK,Ketchikan Gateway,466
AK,Kodiak Island,354
AK,Lake and Peninsula,395.6
AK,Matanuska-Susitna,308.2
AK,Nome,473.2
AK,North Slope,322.9
AK,Northwest Arctic,477.9
AK,Prince of Wales-Outer Ketchikan,
AK,Sitka,
AK,Skagway-Hoonah-Angoon,
AK,Southeast Fairbanks,373
AK,Valdez-Cordova,336.9
AK,Wade Hampton,451.9
AK,Wrangell-Petersburg,
AK,Yakutat,
AK,Yukon-Koyukuk,388.6
AK,Aleutians East,
AK,Aleutians West,
AK,Anchorage,193.1
AK,Bethel,214.4
AK,Bristol Bay,
AK,Denali,183.9
AK,Dillingham,256.1
AK,Fairbanks North Star,188.7
AK,Haines,227.6
AK,Juneau,227.6
AK,Kenai Peninsula,203
AK,Ketchikan Gateway,
AK,Kodiak Island,191.3
AK,Lake and Peninsula,213.2
AK,Matanuska-Susitna,196
AK,Nome,256.8
AK,North Slope,131.6
AK,Northwest Arctic,235.4
AK,Prince of Wales-Outer Ketchikan,
AK,Sitka,
AK,Skagway-Hoonah-Angoon,
AK,Southeast Fairbanks,192.6
AK,Valdez-Cordova,192.9
AK,Wade Hampton,266
AK,Wrangell-Petersburg,
AK,Yakutat,
AK,Yukon-Koyukuk,204.1
AK,Aleutians East,
AK,Aleutians West,
AK,Anchorage,254.3
AK,Bethel,261.5
AK,Bristol Bay,
AK,Denali,285.4
AK,Dillingham,
AK,Fairbanks North Star,278.9
AK,Haines,284.2
AK,Juneau,284.2
AK,Kenai Peninsula,255
AK,Ketchikan Gateway,354.5
AK,Kodiak Island,268.2
AK,Lake and Peninsula,264.5
AK,Matanuska-Susitna,256
AK,Nome,302.7
AK,North Slope,
AK,Northwest Arctic,299.3
AK,Prince of Wales-Outer Ketchikan,
AK,Sitka,204.4
AK,Skagway-Hoonah-Angoon,
AK,Southeast Fairbanks,279
AK,Valdez-Cordova,255.9
AK,Wade Hampton,304.2
AK,Wrangell-Petersburg,
AK,Yakutat,
AK,Yukon-Koyukuk,277.2
AK,Aleutians East,468.9
AK,Aleutians West,
AK,Anchorage,314.3
AK,Bethel,
AK,Bristol Bay,
AK,Denali,384.7
AK,Dillingham,
AK,Fairbanks North Star,372.9
AK,Haines,338.7
AK,Juneau,338.2
AK,Kenai Peninsula,308.7
AK,Ketchikan Gateway,511
AK,Kodiak Island,354.7
AK,Lake and Peninsula,346.9
AK,Matanuska-Susitna,303.4
AK,Nome,434.8
AK,North Slope,
AK,Northwest Arctic,473.7
AK,Prince of Wales-Outer Ketchikan,
AK,Sitka,
AK,Skagway-Hoonah-Angoon,
AK,Southeast Fairbanks,395.4
AK,Valdez-Cordova,305.4
AK,Wade Hampton,482.3
